Section Code,Organization Name,School Term,Genius School Term
ISS.SS.SS002.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS002.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL005.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL005.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL006.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL006.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL009.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL009.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL010.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL010.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL001.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL002.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL002.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.D.1,2 QA FocalPoint School,2526FY,13
